"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","神田(東京)",7,19000000,"１Ｋ",25,"2004年","ＳＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","秋葉原",7,19000000,"１Ｒ",25,"1985年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","岩本町",4,42000000,"１ＤＫ",35,"2018年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","秋葉原",3,25000000,"１Ｋ",30,"2002年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","小伝馬町",2,45000000,"１ＬＤＫ",35,"2013年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","岩本町","神田(東京)",8,26000000,"１Ｋ",30,"2006年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","九段北","九段下",5,62000000,"２ＬＤＫ",60,"1971年","ＳＲＣ","","","","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","九段北","九段下",1,60000000,"１ＬＤＫ",65,"1980年","ＳＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","平河町","麹町",3,35000000,"１Ｒ",40,"1978年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","平河町","麹町",3,61000000,"２ＬＤＫ",65,"1978年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","富士見","飯田橋",4,140000000,"３ＬＤＫ",75,"2014年","ＲＣ","","","１種住居","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","富士見","飯田橋",4,200000000,"１ＬＤＫ",100,"2014年","ＲＣ","","","１種住居","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","富士見","飯田橋",3,140000000,"１ＬＤＫ",55,"2014年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","四番町","市ケ谷",3,70000000,"１ＬＤＫ",45,"2018年","ＲＣ","","","１種住居","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田佐久間町","秋葉原",5,57000000,"１ＬＤＫ",50,"2017年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田神保町","九段下",2,51000000,"１ＤＫ",45,"2000年","ＳＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田神保町","神保町",2,70000000,"２ＬＤＫ",60,"2009年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田神保町","神保町",1,140000000,"２ＬＤＫ",75,"2003年","ＲＣ","","","商業","","","2021年第3四半期","改装済み",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田神保町","","",40000000,"１ＬＤＫ",45,"","","","","","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田美土代町","淡路町",1,47000000,"１ＤＫ",35,"2017年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田美土代町","淡路町",1,39000000,"１Ｋ",25,"2017年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","麹町","麹町",2,90000000,"２ＬＤＫ",55,"2015年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","五番町","市ケ谷",3,130000000,"３ＬＤＫ",95,"1971年","","","","１種住居","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","三番町","半蔵門",5,22000000,"１Ｒ",25,"1986年","ＲＣ","","","２種住居","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","三番町","半蔵門",7,170000000,"２ＬＤＫ",105,"2001年","ＲＣ","","","１種住居","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","二番町","四ツ谷",4,85000000,"２ＬＤＫ",60,"2006年","ＲＣ","","","２種住居","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","六番町","麹町",2,82000000,"１ＬＤＫ",65,"1999年","ＲＣ","","","１種住居","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","六番町","四ツ谷",4,120000000,"２ＬＤＫ",75,"1978年","ＳＲＣ","","","","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","内神田","神田(東京)",3,75000000,"３ＬＤＫ",65,"2013年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","内神田","神田(東京)",7,77000000,"２ＬＤＫ",55,"2019年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","内神田","淡路町",4,79000000,"２ＬＤＫ",55,"2013年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田淡路町","新御茶ノ水",3,170000000,"２ＬＤＫ",65,"2013年","ＳＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田駿河台","御茶ノ水",5,16000000,"１Ｒ",20,"1975年","ＳＲＣ","","","","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田錦町","新御茶ノ水",5,84000000,"２ＬＤＫ",60,"2018年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","九段南","市ケ谷",9,17000000,"１Ｒ",30,"1981年","ＳＲＣ","","","","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","九段南","市ケ谷",2,100000000,"２ＬＤＫ",60,"2013年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","九段南","市ケ谷",6,17000000,"１Ｒ",25,"1981年","ＳＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","九段南","九段下",8,57000000,"１ＬＤＫ",50,"2000年","ＳＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","九段南","九段下",3,16000000,"１Ｋ",35,"1982年","ＳＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","東神田","秋葉原",7,62000000,"２ＬＤＫ",55,"2013年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","東神田","岩本町",4,38000000,"１ＤＫ",40,"2007年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","東神田","秋葉原",9,110000000,"３ＬＤＫ",75,"2015年","ＲＣ","","","","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","東神田","馬喰町",3,38000000,"１ＬＤＫ",40,"2001年","ＳＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","東神田","秋葉原",7,66000000,"２ＬＤＫ",55,"2013年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田三崎町","水道橋",3,41000000,"１ＬＤＫ",35,"2013年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","飯田橋","飯田橋",3,65000000,"１ＬＤＫ",50,"2012年","ＲＣ","","","商業","","","2021年第3四半期","改装済み",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","飯田橋","飯田橋",4,110000000,"２ＬＤＫ",65,"2007年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","飯田橋","飯田橋",3,76000000,"２ＬＤＫ",60,"2012年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","一番町","半蔵門",3,350000000,"２ＬＤＫ",120,"2019年","ＲＣ","","","２種住居","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","一番町","半蔵門",3,210000000,"２ＬＤＫ",95,"2019年","ＲＣ","","","２種住居","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","一番町","半蔵門",1,20000000,"１Ｒ",25,"1981年","ＲＣ","","","","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","一番町","半蔵門",3,80000000,"１ＬＤＫ",50,"2008年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","一番町","半蔵門",3,130000000,"３ＬＤＫ",100,"1982年","ＳＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田須田町","淡路町",3,39000000,"１Ｋ",25,"2018年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田須田町","淡路町",3,41000000,"１Ｋ",25,"2018年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","外神田","末広町(東京)",4,60000000,"２ＬＤＫ",50,"1998年","ＳＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","外神田","末広町(東京)",3,53000000,"１ＬＤＫ",45,"2014年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","外神田","秋葉原",5,140000000,"２ＬＤＫ",70,"2004年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","外神田","秋葉原",5,69000000,"１ＬＤＫ",60,"2004年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田猿楽町","神保町",5,90000000,"２ＬＤＫ",60,"2018年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田猿楽町","神保町",6,27000000,"１Ｋ",20,"2009年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13101","東京都","千代田区","神田猿楽町","神保町",5,30000000,"１Ｒ",25,"2009年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","一番町","半蔵門",2,130000000,"２ＬＤＫ",85,"2001年","ＳＲＣ","住宅","住宅","２種住居",80,500,"2021年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","一番町","半蔵門",3,240000000,"２ＬＤＫ",105,"2016年","ＲＣ","住宅","住宅","１種住居",60,400,"2021年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","一番町","半蔵門",2,52000000,"１ＬＤＫ＋Ｓ",50,"1977年","ＲＣ","住宅","住宅","２種住居",80,500,"2021年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","一番町","半蔵門",2,73000000,"１ＬＤＫ",45,"2009年","ＲＣ","住宅","住宅","商業",80,500,"2021年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","一番町","半蔵門",2,170000000,"２ＬＤＫ",85,"2001年","ＳＲＣ","住宅","住宅","２種住居",80,500,"2021年第3四半期","改装済み",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","岩本町","岩本町",4,34000000,"１ＬＤＫ",35,"2000年","ＳＲＣ","住宅","住宅","商業",80,600,"2021年第3四半期","",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","岩本町","岩本町",2,29000000,"１Ｋ",20,"2006年","ＳＲＣ","住宅","住宅","商業",80,700,"2021年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","岩本町","岩本町",4,42000000,"１ＤＫ",30,"2018年","ＲＣ","","住宅","商業",80,600,"2021年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","岩本町","岩本町",4,29000000,"１Ｋ",30,"2000年","ＳＲＣ","","事務所","商業",80,600,"2021年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","岩本町","岩本町",2,30000000,"１Ｋ",20,"2006年","ＳＲＣ","住宅","その他","商業",80,700,"2021年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","岩本町","神田(東京)",6,38000000,"１ＬＤＫ",25,"2014年","ＲＣ","","住宅","商業",80,600,"2021年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","岩本町","神田(東京)",6,31000000,"１Ｋ",25,"2014年","ＲＣ","","住宅","商業",80,600,"2021年第3四半期","",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","内神田","大手町(東京)",5,120000000,"３ＬＤＫ",70,"2019年","ＲＣ","","住宅","商業",80,600,"2021年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","内神田","小川町(東京)",4,72000000,"２ＤＫ",55,"2013年","ＲＣ","","住宅","商業",80,800,"2021年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","神田淡路町","新御茶ノ水",2,170000000,"２ＬＤＫ",60,"2013年","ＳＲＣ","住宅","住宅","商業",80,500,"2021年第3四半期","改装済み",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","神田和泉町","浅草橋",6,57000000,"２ＬＤＫ",50,"2000年","ＲＣ","","住宅","商業",80,600,"2021年第3四半期","改装済み",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","神田猿楽町","神保町",6,27000000,"１ＤＫ",25,"2009年","ＲＣ","","住宅","商業",80,600,"2021年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","神田猿楽町","神保町",5,130000000,"３ＬＤＫ",65,"2018年","ＲＣ","住宅","住宅","商業",80,600,"2021年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","神田猿楽町","水道橋",7,27000000,"１Ｋ",20,"2009年","ＲＣ","","住宅","商業",80,600,"2021年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","神田神保町","九段下",2,21000000,"１Ｋ",20,"1997年","ＳＲＣ","住宅","住宅","商業",80,600,"2021年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","神田神保町","神保町",1,77000000,"２ＬＤＫ",50,"2005年","ＲＣ","","住宅","商業",80,600,"2021年第3四半期","改装済み",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","神田神保町","神保町",1,140000000,"２ＬＤＫ",70,"2003年","ＳＲＣ","住宅","住宅","商業",80,600,"2021年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","神田須田町","岩本町",1,60000000,"２ＬＤＫ",55,"2004年","ＳＲＣ","","住宅","商業",80,800,"2021年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","神田多町","小川町(東京)",2,27000000,"１Ｋ",20,"2004年","ＳＲＣ","住宅","住宅","商業",80,600,"2021年第3四半期","改装済み",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","神田司町","淡路町",3,38000000,"１ＤＫ",30,"2005年","ＳＲＣ","","住宅","商業",80,600,"2021年第3四半期","改装済み",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","神田司町","淡路町",3,25000000,"１Ｋ",20,"2005年","ＳＲＣ","住宅","住宅","商業",80,600,"2021年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","神田錦町","小川町(東京)",4,26000000,"１Ｋ",20,"2003年","ＳＲＣ","住宅","住宅","商業",80,600,"2021年第3四半期","",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","神田錦町","小川町(東京)",4,25000000,"１Ｋ",20,"2002年","ＳＲＣ","住宅","住宅","商業",80,600,"2021年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","神田錦町","小川町(東京)",5,84000000,"２ＬＤＫ",55,"2018年","ＲＣ","住宅","住宅","商業",80,600,"2021年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","神田三崎町","水道橋",3,25000000,"１ＤＫ",30,"2013年","ＲＣ","住宅","住宅","商業",80,500,"2021年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","神田美土代町","淡路町",1,43000000,"１Ｋ",25,"2017年","ＲＣ","住宅","住宅","商業",80,600,"2021年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","九段北","市ケ谷",4,23000000,"１Ｋ",20,"1998年","ＲＣ","住宅","住宅","商業",80,500,"2021年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","九段北","九段下",1,97000000,"オープンフロア",90,"1980年","ＳＲＣ","","店舗","商業",80,500,"2021年第3四半期","改装済み",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","九段北","九段下",2,60000000,"２ＬＤＫ",55,"1980年","ＳＲＣ","住宅","住宅","商業",80,500,"2021年第3四半期","改装済み",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","九段南","市ケ谷",7,25000000,"１Ｋ",20,"2003年","ＳＲＣ","","住宅","商業",80,700,"2021年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","九段南","市ケ谷",2,100000000,"２ＬＤＫ",55,"2013年","ＲＣ","住宅","住宅","商業",80,500,"2021年第3四半期","改装済み",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","麹町","半蔵門",2,10000000,"１Ｋ",20,"1982年","ＳＲＣ","住宅","その他","商業",80,700,"2021年第3四半期","",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","三番町","市ケ谷",3,26000000,"１Ｋ",25,"1985年","ＲＣ","住宅","住宅","商業",80,500,"2021年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","外神田","秋葉原",2,150000000,"４ＬＤＫ",125,"2004年","ＲＣ","住宅","住宅","商業",80,800,"2021年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","外神田","秋葉原",6,46000000,"１ＤＫ",30,"2019年","ＲＣ","","住宅","","","","2021年第3四半期","",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","外神田","秋葉原",3,25000000,"１Ｋ",20,"2003年","ＳＲＣ","","住宅","商業",80,600,"2021年第3四半期","",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","外神田","御茶ノ水",4,28000000,"１Ｋ",20,"2004年","ＳＲＣ","住宅","住宅","商業",80,500,"2021年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","外神田","末広町(東京)",2,24000000,"１Ｋ",20,"2004年","ＳＲＣ","住宅","住宅","商業",80,600,"2021年第3四半期","改装済み",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","外神田","末広町(東京)",4,58000000,"２ＬＤＫ",45,"1998年","ＳＲＣ","","住宅","商業",80,600,"2021年第3四半期","改装済み",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","東神田","秋葉原",8,66000000,"２ＬＤＫ",50,"2005年","ＲＣ","住宅","住宅","商業",80,500,"2021年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","東神田","浅草橋",4,13000000,"１Ｒ",25,"1980年","ＳＲＣ","住宅","住宅","商業",80,600,"2021年第3四半期","",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","東神田","浅草橋",1,110000000,"３ＬＤＫ",70,"2015年","ＲＣ","住宅","住宅","商業",80,600,"2021年第3四半期","改装済み",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","平河町","麹町",4,110000000,"２ＤＫ",95,"1979年","ＳＲＣ","","住宅","２種住居",60,400,"2021年第3四半期","改装済み",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","富士見","飯田橋",5,200000000,"１ＬＤＫ",95,"2014年","ＲＣ","住宅","住宅","１種住居",60,400,"2021年第3四半期","未改装",""
"中古マンション等","不動産取引価格情報","13101","東京都","千代田区","富士見","飯田橋",5,140000000,"３ＬＤＫ",70,"2014年","ＲＣ","住宅","住宅","１種住居",60,400,"2021年第3四半期","未改装",""
"中古マンション等","成約価格情報","13102","東京都","中央区","新富","新富町(東京)",1,74000000,"２ＬＤＫ＋Ｓ",65,"2012年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","新富","新富町(東京)",3,73000000,"２ＬＤＫ",55,"2013年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","新富","新富町(東京)",3,45000000,"１ＬＤＫ",45,"2001年","ＳＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","新富","新富町(東京)",3,70000000,"２ＬＤＫ",55,"2013年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","日本橋蛎殻町","水天宮前",4,61000000,"２ＬＤＫ",60,"2014年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","日本橋蛎殻町","水天宮前",2,47000000,"１ＬＤＫ",45,"2012年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","日本橋蛎殻町","水天宮前",3,23000000,"１Ｋ",25,"2006年","鉄骨造","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","日本橋蛎殻町","水天宮前",1,59000000,"２ＬＤＫ",55,"1999年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","日本橋蛎殻町","水天宮前",3,50000000,"１ＬＤＫ",55,"2002年","ＳＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","日本橋茅場町","茅場町",2,22000000,"１Ｋ",25,"2006年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","日本橋茅場町","茅場町",2,67000000,"２ＬＤＫ",60,"2006年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","日本橋小伝馬町","小伝馬町",1,35000000,"１Ｋ",30,"2017年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","日本橋小伝馬町","小伝馬町",2,22000000,"１Ｒ",35,"1981年","ＳＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","日本橋小舟町","三越前",6,34000000,"１ＬＤＫ",45,"2001年","","","","","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","日本橋小舟町","三越前",5,42000000,"１ＤＫ",40,"2000年","ＳＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","日本橋小舟町","人形町",5,18000000,"１Ｒ",30,"1982年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","日本橋人形町","人形町",2,85000000,"３ＬＤＫ",70,"2000年","ＳＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","日本橋人形町","人形町",3,74000000,"２ＬＤＫ",60,"2013年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","日本橋人形町","水天宮前",1,24000000,"１Ｋ",20,"2003年","ＳＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","日本橋人形町","人形町",3,55000000,"１ＬＤＫ＋Ｓ",60,"2001年","ＳＲＣ","","","","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","日本橋馬喰町","馬喰町",1,69000000,"１ＬＤＫ＋Ｓ",65,"2018年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","日本橋馬喰町","馬喰町",1,20000000,"１Ｒ",45,"1980年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","日本橋久松町","東日本橋",3,44000000,"１ＬＤＫ",55,"2003年","ＳＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","日本橋堀留町","人形町",3,47000000,"１ＬＤＫ",40,"2006年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","日本橋堀留町","人形町",3,62000000,"２ＬＤＫ",55,"2006年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","日本橋堀留町","人形町",3,47000000,"１ＬＤＫ",40,"2006年","ＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","晴海","勝どき",10,98000000,"２ＬＤＫ",105,"2009年","ＳＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","晴海","勝どき",9,89000000,"２ＬＤＫ",75,"2015年","ＲＣ","","","準工業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","晴海","月島",12,80000000,"３ＬＤＫ",75,"2019年","ＲＣ","","","準工業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","晴海","勝どき",9,78000000,"１Ｒ",60,"2015年","ＲＣ","","","準工業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","晴海","勝どき",13,84000000,"３ＬＤＫ",80,"2016年","ＲＣ","","","準工業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","晴海","勝どき",10,42000000,"１ＬＤＫ",45,"2009年","ＳＲＣ","","","商業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","晴海","勝どき",11,82000000,"２ＬＤＫ",70,"2013年","ＲＣ","","","準工業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","晴海","月島",13,83000000,"３ＬＤＫ",75,"2016年","ＲＣ","","","準工業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","晴海","勝どき",10,86000000,"３ＬＤＫ",75,"2015年","ＲＣ","","","１種住居","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","晴海","勝どき",9,85000000,"２ＬＤＫ",75,"2015年","ＲＣ","","","準工業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","晴海","勝どき",9,80000000,"１ＬＤＫ",65,"2015年","ＲＣ","","","準工業","","","2021年第3四半期","",""
"中古マンション等","成約価格情報","13102","東京都","中央区","晴海","勝どき",9,91000000,"２ＬＤＫ",75,"2015年","ＲＣ","","","準工業","","","2021年第3四半期","",""
